GOP_size, Compresssion_Ratio
 1      , 4.350098 
 2      , 6.555649 
 3      , 7.898578 
 4      , 8.750044 
 5      , 9.477399 
 6      , 9.987487 
 7      , 10.234228
 8      , 10.687727
 9      , 10.829348
10      , 11.154872
11      , 11.289699
12      , 11.334856
13      , 11.303870
14      , 11.495752
15      , 11.683671
16      , 11.631995
17      , 11.667678
18      , 11.888140
19      , 11.838044
20      , 12.039798
21      , 12.042595
22      , 12.024996
23      , 12.018603
24      , 12.230040
25      , 12.224921
26      , 12.226953
27      , 12.221174
28      , 12.225012
29      , 12.227275
30      , 12.460874
